Year,Month,Day,Minimum Temperature (°C),data Completeness
2020.0,1.0,1.0,16.7,C
2020.0,1.0,2.0,14.5,C
2020.0,1.0,3.0,14.4,C
2020.0,1.0,4.0,14.1,C
2020.0,1.0,5.0,18.4,C
2020.0,1.0,6.0,20,C
2020.0,1.0,7.0,18.7,C
2020.0,1.0,8.0,18.9,C
2020.0,1.0,9.0,18,C
2020.0,1.0,10.0,18.5,C
2020.0,1.0,11.0,17.9,C
2020.0,1.0,12.0,13.9,C
2020.0,1.0,13.0,16.3,C
2020.0,1.0,14.0,16.9,C
2020.0,1.0,15.0,17.6,C
2020.0,1.0,16.0,18,#
2020.0,1.0,17.0,15.2,#
2020.0,1.0,18.0,14.4,C
2020.0,1.0,19.0,14.8,C
2020.0,1.0,20.0,14.4,C
2020.0,1.0,21.0,13.9,C
2020.0,1.0,22.0,17.6,C
2020.0,1.0,23.0,20,C
2020.0,1.0,24.0,19.9,C
2020.0,1.0,25.0,18,C
2020.0,1.0,26.0,13.1,C
2020.0,1.0,27.0,10,C
2020.0,1.0,28.0,9.5,C
2020.0,1.0,29.0,10.2,C
2020.0,1.0,30.0,11.6,C
2020.0,1.0,31.0,10.1,C
2020.0,2.0,1.0,9,C
2020.0,2.0,2.0,15.5,C
2020.0,2.0,3.0,15.6,C
2020.0,2.0,4.0,14.7,C
2020.0,2.0,5.0,16.5,C
2020.0,2.0,6.0,15.7,C
2020.0,2.0,7.0,17.3,C
2020.0,2.0,8.0,15.8,C
2020.0,2.0,9.0,13.7,C
2020.0,2.0,10.0,14.7,C
2020.0,2.0,11.0,16.6,C
2020.0,2.0,12.0,18,C
2020.0,2.0,13.0,17.9,C
2020.0,2.0,14.0,18.9,C
2020.0,2.0,15.0,19.7,C
2020.0,2.0,16.0,10.1,C
2020.0,2.0,17.0,9.5,C
2020.0,2.0,18.0,10.4,C
2020.0,2.0,19.0,11.8,C
2020.0,2.0,20.0,12.3,C
2020.0,2.0,21.0,14.7,C
2020.0,2.0,22.0,13.1,C
2020.0,2.0,23.0,16.8,#
2020.0,2.0,24.0,17.3,C
2020.0,2.0,25.0,19.2,C
2020.0,2.0,26.0,17.7,#
2020.0,2.0,27.0,18.4,#
2020.0,2.0,28.0,17.9,#
2020.0,2.0,29.0,17.6,#
2020.0,3.0,1.0,17.9,#
2020.0,3.0,2.0,18.5,C
2020.0,3.0,3.0,17.9,C
2020.0,3.0,4.0,17.1,C
2020.0,3.0,5.0,15.1,C
2020.0,3.0,6.0,16.8,C
2020.0,3.0,7.0,18.8,C
2020.0,3.0,8.0,19.8,#
2020.0,3.0,9.0,20.4,C
2020.0,3.0,10.0,19.4,#
2020.0,3.0,11.0,17.5,C
2020.0,3.0,12.0,17.6,C
2020.0,3.0,13.0,19.8,C
2020.0,3.0,14.0,19,C
2020.0,3.0,15.0,18.4,C
2020.0,3.0,16.0,17.1,C
2020.0,3.0,17.0,19.4,C
2020.0,3.0,18.0,18.9,C
2020.0,3.0,19.0,18.7,C
2020.0,3.0,20.0,19.8,C
2020.0,3.0,21.0,20.6,C
2020.0,3.0,22.0,21,C
2020.0,3.0,23.0,19.9,C
2020.0,3.0,24.0,20.3,C
2020.0,3.0,25.0,21,C
2020.0,3.0,26.0,21.7,C
2020.0,3.0,27.0,20.8,C
2020.0,3.0,28.0,18.7,C
2020.0,3.0,29.0,18.6,C
2020.0,3.0,30.0,19.3,C
2020.0,3.0,31.0,18.8,C
2020.0,4.0,1.0,17.9,C
2020.0,4.0,2.0,19.1,C
2020.0,4.0,3.0,19.2,C
2020.0,4.0,4.0,19.1,C
2020.0,4.0,5.0,16.6,C
2020.0,4.0,6.0,16.2,#
2020.0,4.0,7.0,17.1,#
2020.0,4.0,8.0,18.9,C
2020.0,4.0,9.0,17.5,#
2020.0,4.0,10.0,18,C
2020.0,4.0,11.0,20.9,C
2020.0,4.0,12.0,18.3,C
2020.0,4.0,13.0,16.4,C
2020.0,4.0,14.0,16.7,C
2020.0,4.0,15.0,14.9,C
2020.0,4.0,16.0,16.1,C
2020.0,4.0,17.0,20.4,C
2020.0,4.0,18.0,20,C
2020.0,4.0,19.0,23.1,C
2020.0,4.0,20.0,24.2,C
2020.0,4.0,21.0,23.6,C
2020.0,4.0,22.0,18.8,#
2020.0,4.0,23.0,18.8,C
2020.0,4.0,24.0,17.1,C
2020.0,4.0,25.0,17.4,C
2020.0,4.0,26.0,19,C
2020.0,4.0,27.0,19.4,C
2020.0,4.0,28.0,18.6,#
2020.0,4.0,29.0,20.5,#
2020.0,4.0,30.0,18.8,C
2020.0,5.0,1.0,22.1,C
2020.0,5.0,2.0,22.9,C
2020.0,5.0,3.0,23.5,C
2020.0,5.0,4.0,25.5,#
2020.0,5.0,5.0,26.5,C
2020.0,5.0,6.0,26.3,C
2020.0,5.0,7.0,27.8,C
2020.0,5.0,8.0,28.6,C
2020.0,5.0,9.0,27.9,C
2020.0,5.0,10.0,24.1,C
2020.0,5.0,11.0,23.9,#
2020.0,5.0,12.0,23.6,C
2020.0,5.0,13.0,24.8,C
2020.0,5.0,14.0,24.7,C
2020.0,5.0,15.0,26,C
2020.0,5.0,16.0,24.5,C
2020.0,5.0,17.0,25,C
2020.0,5.0,18.0,24.8,C
2020.0,5.0,19.0,24.2,C
2020.0,5.0,20.0,25.5,C
2020.0,5.0,21.0,25.4,C
2020.0,5.0,22.0,26.7,C
2020.0,5.0,23.0,24.8,C
2020.0,5.0,24.0,24.6,C
2020.0,5.0,25.0,25.3,C
2020.0,5.0,26.0,26.3,C
2020.0,5.0,27.0,25.4,C
2020.0,5.0,28.0,25.4,C
2020.0,5.0,29.0,26.1,C
2020.0,5.0,30.0,24.1,C
2020.0,5.0,31.0,25.8,C
2020.0,6.0,1.0,28.4,C
2020.0,6.0,2.0,27,C
2020.0,6.0,3.0,27.2,C
2020.0,6.0,4.0,28.6,C
2020.0,6.0,5.0,26.8,C
2020.0,6.0,6.0,23.7,C
2020.0,6.0,7.0,24.1,#
2020.0,6.0,8.0,25.1,C
2020.0,6.0,9.0,26.9,C
2020.0,6.0,10.0,26.8,#
2020.0,6.0,11.0,27.2,#
2020.0,6.0,12.0,26.5,#
2020.0,6.0,13.0,27.4,#
2020.0,6.0,14.0,25.5,C
2020.0,6.0,15.0,25.6,C
2020.0,6.0,16.0,26.2,C
2020.0,6.0,17.0,25.7,C
2020.0,6.0,18.0,26,#
