Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity,Minimum Temperature (°C),Mean Temperature (°C),Maximum Temperature (°C)
2020-01-01,0,7.0,92.0,0.2,80,16.7,17.5,18.6
2020-01-02,0,4.8,54.0,3.6,78,14.5,17.5,20.3
2020-01-03,0,4.2,47.0,8.9,82,14.4,18.4,23.5
2020-01-04,0.5,4.1,62.0,8.6,83,14.1,18.4,23.9
2020-01-05,0,6.8,81.0,6.6,79,18.4,20.3,23.2
2020-01-06,0,7.8,75.0,6.7,78,20,21.5,24.9
2020-01-07,0,3.5,57.0,8.0,83,18.7,22,27.1
2020-01-08,0,5.8,35.0,8.1,72,18.9,21.4,26
2020-01-09,0,10.2,76.0,5.0,77,18,19,20.6
2020-01-10,0,7.0,67.0,6.1,82,18.5,20.1,23.5
2020-01-11,0,5.6,59.0,7.0,81,17.9,21,25.8
2020-01-12,0,7.3,75.0,7.9,65,13.9,17.1,20.4
2020-01-13,0,6.6,77.0,2.5,76,16.3,17.6,19.2
2020-01-14,0,5.3,42.0,9.4,76,16.9,18.9,22.7
2020-01-15,0.5,8.3,77.0,5.8,80,17.6,19.1,21.3
2020-01-16,0,6.0,57.0,7.2,84,18,19.5,22.8
2020-01-17,0,6.6,88.0,0.1,69,15.2,17.4,19.3
2020-01-18,0,6.4,63.0,6.5,73,14.4,17.1,19.6
2020-01-19,0,6.9,83.0,1.1,75,14.8,17.2,19.4
2020-01-20,0,4.5,80.0,2.9,75,14.4,16.8,20.7
2020-01-21,0,4.8,85.0,4.9,80,13.9,17.9,22
2020-01-22,0,4.6,84.0,4.3,82,17.6,20.5,24.2
2020-01-23,0,4.5,63.0,7.6,86,20,21.8,26.1
2020-01-24,0,5.9,86.0,4.6,89,19.9,21.2,23.5
2020-01-25,4,6.4,91.0,0.9,89,18,19.7,22.6
2020-01-26,32,8.8,80.0,1.5,86,13.1,15.5,18.7
2020-01-27,0,8.8,71.0,2.7,70,10,12.2,15.9
2020-01-28,0,8.7,68.0,4.4,66,9.5,12.3,15.7
2020-01-29,0,9.0,42.0,7.2,55,10.2,13.4,16.6
2020-01-30,0,11.9,3.0,10.2,44,11.6,14.7,18.3
2020-01-31,0,7.5,4.0,10.2,52,10.1,14,18.4
2020-02-01,0,4.9,29.0,9.1,72,9,14.2,18.5
2020-02-02,0,7.2,85.0,1.6,77,15.5,16.9,18.8
