Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity
2020-01-01,0,7.0,92.0,0.2,80
2020-01-02,0,4.8,54.0,3.6,78
2020-01-03,0,4.2,47.0,8.9,82
2020-01-04,0.5,4.1,62.0,8.6,83
2020-01-05,0,6.8,81.0,6.6,79
2020-01-06,0,7.8,75.0,6.7,78
2020-01-07,0,3.5,57.0,8.0,83
2020-01-08,0,5.8,35.0,8.1,72
2020-01-09,0,10.2,76.0,5.0,77
2020-01-10,0,7.0,67.0,6.1,82
2020-01-11,0,5.6,59.0,7.0,81
2020-01-12,0,7.3,75.0,7.9,65
2020-01-13,0,6.6,77.0,2.5,76
2020-01-14,0,5.3,42.0,9.4,76
2020-01-15,0.5,8.3,77.0,5.8,80
2020-01-16,0,6.0,57.0,7.2,84
2020-01-17,0,6.6,88.0,0.1,69
2020-01-18,0,6.4,63.0,6.5,73
2020-01-19,0,6.9,83.0,1.1,75
2020-01-20,0,4.5,80.0,2.9,75
2020-01-21,0,4.8,85.0,4.9,80
2020-01-22,0,4.6,84.0,4.3,82
2020-01-23,0,4.5,63.0,7.6,86
2020-01-24,0,5.9,86.0,4.6,89
2020-01-25,4,6.4,91.0,0.9,89
2020-01-26,32,8.8,80.0,1.5,86
2020-01-27,0,8.8,71.0,2.7,70
2020-01-28,0,8.7,68.0,4.4,66
2020-01-29,0,9.0,42.0,7.2,55
2020-01-30,0,11.9,3.0,10.2,44
2020-01-31,0,7.5,4.0,10.2,52
2020-02-01,0,4.9,29.0,9.1,72
2020-02-02,0,7.2,85.0,1.6,77
2020-02-03,1,6.4,68.0,1.9,78
2020-02-04,1.5,5.5,88.0,0.6,84
2020-02-05,0,6.8,88.0,0.2,83
2020-02-06,0,7.8,81.0,1.5,77
2020-02-07,0,5.5,85.0,0.5,82
2020-02-08,0,7.3,88.0,0.1,76
2020-02-09,0,6.1,88.0,0.1,77
2020-02-10,0,4.8,88.0,0.3,76
2020-02-11,2,3.7,88.0,0.0,86
2020-02-12,0,4.5,77.0,4.9,89
2020-02-13,16.5,3.0,80.0,0.3,94
2020-02-14,7,6.0,92.0,1.7,94
2020-02-15,3,6.8,92.0,0.8,95
2020-02-16,26,10.9,92.0,0.9,82
2020-02-17,0,10.9,26.0,10.3,53
2020-02-18,0,6.4,6.0,10.5,57
2020-02-19,0,5.8,37.0,7.6,69
2020-02-20,0,5.2,31.0,6.7,70
2020-02-21,0,5.9,7.0,10.6,73
2020-02-22,0,6.4,11.0,10.5,73
2020-02-23,0,10.0,67.0,6.7,71
2020-02-24,0,7.2,81.0,1.5,76
2020-02-25,0,3.6,56.0,3.6,84
2020-02-26,0,3.5,29.0,10.4,82
2020-02-27,0,8.3,78.0,4.1,84
2020-02-28,0,6.7,84.0,5.5,78
2020-02-29,0,3.0,54.0,5.7,80
2020-03-01,0,3.1,21.0,10.0,82
2020-03-02,0,7.4,69.0,0.0,84
2020-03-03,0,8.3,89.0,0.4,81
2020-03-04,3,6.0,88.0,0.0,84
2020-03-05,0.5,6.8,88.0,3.4,85
2020-03-06,0,7.4,88.0,1.8,80
2020-03-07,0,4.6,86.0,2.2,88
2020-03-08,0,5.7,90.0,0.4,92
2020-03-09,7,6.3,90.0,1.3,89
2020-03-10,0,11.2,70.0,8.5,67
2020-03-11,0,8.3,89.0,0.9,72
2020-03-12,0,7.0,88.0,0.0,89
2020-03-13,0,3.6,89.0,3.4,91
2020-03-14,1.5,8.2,72.0,7.3,78
2020-03-15,0,7.9,76.0,5.4,70
2020-03-16,0,6.0,70.0,8.1,75
2020-03-17,0,6.4,83.0,0.6,79
2020-03-18,14,4.2,79.0,0.0,86
2020-03-19,4,4.0,89.0,0.3,88
2020-03-20,1,5.8,88.0,0.2,87
2020-03-21,1,4.9,87.0,0.4,94
2020-03-22,0,7.0,44.0,9.7,84
2020-03-23,0.5,6.6,37.0,10.7,81
2020-03-24,0,8.7,70.0,6.3,82
2020-03-25,0,5.9,88.0,4.3,83
2020-03-26,1,3.9,77.0,2.9,90
2020-03-27,0,4.5,73.0,5.9,86
2020-03-28,5.5,3.8,89.0,1.6,91
2020-03-29,4.5,9.1,90.0,0.2,91
2020-03-30,7,6.8,96.0,0.0,95
2020-03-31,2.5,6.3,98.0,0.0,95
2020-04-01,0,6.5,96.0,0.0,91
2020-04-02,0,10.3,94.0,0.0,86
2020-04-03,1.5,7.9,88.0,0.0,88
2020-04-04,2.5,5.7,89.0,1.2,89
2020-04-05,4.5,6.8,94.0,0.0,88
2020-04-06,28.5,4.5,97.0,0.0,92
2020-04-07,0,4.5,88.0,0.7,86
2020-04-08,0,5.6,83.0,4.3,71
2020-04-09,0,4.1,31.0,9.8,69
2020-04-10,0,7.5,39.0,10.5,73
2020-04-11,4,5.4,89.0,0.3,88
2020-04-12,0,13.3,45.0,9.5,59
2020-04-13,0,9.5,49.0,10.6,44
2020-04-14,0,3.3,80.0,3.5,65
2020-04-15,0,5.0,46.0,11.0,66
2020-04-16,0,4.4,41.0,11.1,77
2020-04-17,0,4.9,59.0,10.6,79
2020-04-18,0,3.4,73.0,5.2,81
2020-04-19,0,7.6,47.0,9.7,80
2020-04-20,0,9.2,53.0,8.7,81
2020-04-21,0,4.6,69.0,5.5,82
2020-04-22,15,7.0,93.0,0.0,94
2020-04-23,1,5.8,93.0,0.0,89
2020-04-24,1.5,5.4,94.0,0.1,84
2020-04-25,0,3.5,90.0,0.7,83
2020-04-26,0.5,4.0,79.0,7.2,75
2020-04-27,0,3.5,65.0,7.9,65
2020-04-28,0,7.5,56.0,11.3,64
2020-04-29,0,5.6,39.0,10.6,72
2020-04-30,0,5.0,52.0,10.3,74
2020-05-01,0,4.2,70.0,7.1,81
2020-05-02,0,7.1,52.0,10.4,77
2020-05-03,0,12.3,32.0,11.3,78
2020-05-04,0,13.6,57.0,9.8,79
2020-05-05,0,16.4,75.0,8.8,80
2020-05-06,0,11.1,83.0,4.8,81
