Year,Month,Day,Mean Wind Speed (km/h),data Completeness
2020.0,1.0,1.0,7,C
2020.0,1.0,2.0,4.8,C
2020.0,1.0,3.0,4.2,C
2020.0,1.0,4.0,4.1,C
2020.0,1.0,5.0,6.8,C
2020.0,1.0,6.0,7.8,C
2020.0,1.0,7.0,3.5,C
2020.0,1.0,8.0,5.8,C
2020.0,1.0,9.0,10.2,C
2020.0,1.0,10.0,7,C
2020.0,1.0,11.0,5.6,C
2020.0,1.0,12.0,7.3,C
2020.0,1.0,13.0,6.6,C
2020.0,1.0,14.0,5.3,C
2020.0,1.0,15.0,8.3,C
2020.0,1.0,16.0,6,C
2020.0,1.0,17.0,6.6,C
2020.0,1.0,18.0,6.4,C
2020.0,1.0,19.0,6.9,C
2020.0,1.0,20.0,4.5,C
2020.0,1.0,21.0,4.8,C
2020.0,1.0,22.0,4.6,C
2020.0,1.0,23.0,4.5,C
2020.0,1.0,24.0,5.9,C
2020.0,1.0,25.0,6.4,C
2020.0,1.0,26.0,8.8,C
2020.0,1.0,27.0,8.8,C
2020.0,1.0,28.0,8.7,C
2020.0,1.0,29.0,9,C
2020.0,1.0,30.0,11.9,C
2020.0,1.0,31.0,7.5,C
2020.0,2.0,1.0,4.9,C
2020.0,2.0,2.0,7.2,C
2020.0,2.0,3.0,6.4,C
2020.0,2.0,4.0,5.5,C
2020.0,2.0,5.0,6.8,C
2020.0,2.0,6.0,7.8,C
2020.0,2.0,7.0,5.5,C
2020.0,2.0,8.0,7.3,C
2020.0,2.0,9.0,6.1,C
2020.0,2.0,10.0,4.8,C
2020.0,2.0,11.0,3.7,C
2020.0,2.0,12.0,4.5,C
2020.0,2.0,13.0,3,C
2020.0,2.0,14.0,6,C
2020.0,2.0,15.0,6.8,C
2020.0,2.0,16.0,10.9,C
2020.0,2.0,17.0,10.9,C
2020.0,2.0,18.0,6.4,C
2020.0,2.0,19.0,5.8,C
2020.0,2.0,20.0,5.2,C
2020.0,2.0,21.0,5.9,C
2020.0,2.0,22.0,6.4,C
2020.0,2.0,23.0,10,C
2020.0,2.0,24.0,7.2,C
2020.0,2.0,25.0,3.6,C
2020.0,2.0,26.0,3.5,C
2020.0,2.0,27.0,8.3,C
2020.0,2.0,28.0,6.7,C
2020.0,2.0,29.0,3,C
2020.0,3.0,1.0,3.1,C
2020.0,3.0,2.0,7.4,C
2020.0,3.0,3.0,8.3,C
2020.0,3.0,4.0,6,C
2020.0,3.0,5.0,6.8,C
2020.0,3.0,6.0,7.4,C
2020.0,3.0,7.0,4.6,C
2020.0,3.0,8.0,5.7,C
2020.0,3.0,9.0,6.3,C
2020.0,3.0,10.0,11.2,C
2020.0,3.0,11.0,8.3,C
2020.0,3.0,12.0,7,C
2020.0,3.0,13.0,3.6,C
2020.0,3.0,14.0,8.2,C
2020.0,3.0,15.0,7.9,C
2020.0,3.0,16.0,6,C
2020.0,3.0,17.0,6.4,C
2020.0,3.0,18.0,4.2,C
2020.0,3.0,19.0,4,C
2020.0,3.0,20.0,5.8,C
2020.0,3.0,21.0,4.9,C
2020.0,3.0,22.0,7,C
2020.0,3.0,23.0,6.6,C
2020.0,3.0,24.0,8.7,C
2020.0,3.0,25.0,5.9,C
2020.0,3.0,26.0,3.9,C
2020.0,3.0,27.0,4.5,C
2020.0,3.0,28.0,3.8,C
2020.0,3.0,29.0,9.1,C
2020.0,3.0,30.0,6.8,C
2020.0,3.0,31.0,6.3,C
2020.0,4.0,1.0,6.5,C
2020.0,4.0,2.0,10.3,C
2020.0,4.0,3.0,7.9,C
2020.0,4.0,4.0,5.7,C
2020.0,4.0,5.0,6.8,C
2020.0,4.0,6.0,4.5,C
2020.0,4.0,7.0,4.5,C
2020.0,4.0,8.0,5.6,C
2020.0,4.0,9.0,4.1,C
2020.0,4.0,10.0,7.5,C
2020.0,4.0,11.0,5.4,C
2020.0,4.0,12.0,13.3,C
2020.0,4.0,13.0,9.5,C
2020.0,4.0,14.0,3.3,C
2020.0,4.0,15.0,5,C
2020.0,4.0,16.0,4.4,C
2020.0,4.0,17.0,4.9,C
2020.0,4.0,18.0,3.4,C
