Year,Month,Day,Value,data Completeness
2020,1,1,80,C
2020,1,2,78,C
2020,1,3,82,C
2020,1,4,83,C
2020,1,5,79,C
2020,1,6,78,C
2020,1,7,83,C
2020,1,8,72,C
2020,1,9,77,C
2020,1,10,82,C
2020,1,11,81,C
2020,1,12,65,C
2020,1,13,76,C
2020,1,14,76,C
2020,1,15,80,C
2020,1,16,84,C
2020,1,17,69,C
2020,1,18,73,C
2020,1,19,75,C
2020,1,20,75,C
2020,1,21,80,C
2020,1,22,82,C
2020,1,23,86,C
2020,1,24,89,C
2020,1,25,89,C
2020,1,26,86,C
2020,1,27,70,C
2020,1,28,66,C
2020,1,29,55,C
2020,1,30,44,C
2020,1,31,52,C
2020,2,1,72,C
2020,2,2,77,C
2020,2,3,78,C
2020,2,4,84,C
2020,2,5,83,C
2020,2,6,77,C
2020,2,7,82,C
2020,2,8,76,C
2020,2,9,77,C
2020,2,10,76,C
2020,2,11,86,C
2020,2,12,89,C
2020,2,13,94,C
2020,2,14,94,C
2020,2,15,95,C
2020,2,16,82,C
2020,2,17,53,C
2020,2,18,57,C
2020,2,19,69,C
2020,2,20,70,C
2020,2,21,73,C
2020,2,22,73,C
2020,2,23,71,C
2020,2,24,76,C
2020,2,25,84,C
2020,2,26,82,C
2020,2,27,84,C
2020,2,28,78,C
2020,2,29,80,C
2020,3,1,82,C
2020,3,2,84,C
2020,3,3,81,C
2020,3,4,84,C
2020,3,5,85,C
2020,3,6,80,C
2020,3,7,88,C
2020,3,8,92,C
2020,3,9,89,C
2020,3,10,67,C
2020,3,11,72,C
2020,3,12,89,C
2020,3,13,91,C
2020,3,14,78,C
2020,3,15,70,C
2020,3,16,75,C
2020,3,17,79,C
2020,3,18,86,C
2020,3,19,88,C
2020,3,20,87,C
2020,3,21,94,C
2020,3,22,84,C
2020,3,23,81,C
2020,3,24,82,C
2020,3,25,83,C
2020,3,26,90,C
2020,3,27,86,C
2020,3,28,91,C
2020,3,29,91,C
2020,3,30,95,C
2020,3,31,95,C
2020,4,1,91,C
2020,4,2,86,C
2020,4,3,88,C
2020,4,4,89,C
2020,4,5,88,C
2020,4,6,92,C
2020,4,7,86,C
2020,4,8,71,C
2020,4,9,69,C
2020,4,10,73,C
2020,4,11,88,C
2020,4,12,59,C
2020,4,13,44,C
2020,4,14,65,C
2020,4,15,66,C
